respondent_id,questionnaire_id,group_code,group,institution_code,questionnaire_number,mode,source_label,date_filled,sample1_code,sample1_format,sample2_code,sample2_format,years_experience,group_name,education,uses_video_audio_content,use_frequency_if_yes,usage_purpose_multi,content_source_multi,importance_precheck_1_5,quality_signs_multi,knows_ai_content,used_ai_in_work,ai_content_pedagogically_appropriate,youtube_trust_1_5,sample1_plot,sample1_value,sample1_language,sample1_psychological_safety,sample1_age_fit,sample1_overall,sample1_guessed_origin,sample1_would_use,sample2_plot,sample2_value,sample2_language,sample2_psychological_safety,sample2_age_fit,sample2_overall,sample2_guessed_origin,sample2_would_use,open_q13_main_risk_ai,open_q14_quality_signs,usage_purpose_other_text,content_source_other_text,quality_signs_other_text,notes
E-online-009,В-10-T4V4,В,educator,online,10,google_form,Google Forms,2026-03-13 19:56:21.498000,T4,text,V4,video,10.0,Середня,Вища (дошкільна освіта),"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Ранкове коло, Розвиток мовлення, Інше","YouTube, Файли / флешка, Освітні платформи, Інше",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Скоріше так,3.0,1.0,3.0,2.0,4.0,2.0,5.0,Важко сказати,Так,1.0,4.0,3.0,1.0,4.0,3.0,Важко сказати,Скоріше так,.,.,,,,
E-online-010,В-10-T4V4,В,educator,online,10,google_form,Google Forms,2026-03-16 18:24:39.671000,T4,text,V4,video,12.0,Старша ,Вища (інша),Іноді,Кілька разів на тиждень,"Розвиток мовлення, Обговорення емоцій","YouTube Kids, Файли / флешка",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,Ні,Скоріше ні,2.0,4.0,5.0,4.0,4.0,4.0,4.0,Традиційний,Скоріше так,3.0,3.0,2.0,2.0,1.0,2.0,ШІ,Ні,"Старший дошкільний вік, за умови аналізу контенту дорослим ","Контент на основі програмових рекомендацій, казок, фольклору ",,,,
E-online-011,В-11-T1V2,В,educator,online,11,google_form,Google Forms,2026-03-19 08:30:50.775000,T1,text,V2,video,17 років 10 м.,середня логопедична ,Вища (інша),"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Розвиток мовлення","YouTube Kids, Освітні платформи",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Так,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Традиційний,Так,4.0,4.0,4.0,4.0,3.0,3.0,Важко сказати,Скоріше так,Ші створює ризики для інтелектуального розвитку дітей,базується на комплексному оцінюванні безпеки та розвивального потенціалу,,,,
E-online-012,В-11-T1V2,В,educator,online,11,google_form,Google Forms,2026-03-20 08:34:05.205000,T1,text,V2,video,21 рік,Молодша,Вища (інша),"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Ранкове коло, Відпочинок / пауза, Розвиток мовлення, Обговорення емоцій","YouTube Kids, Файли / флешка, Освітні платформи",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Скоріше так,4.0,4.0,4.0,4.0,3.0,3.0,4.0,Важко сказати,Скоріше так,4.0,4.0,5.0,3.0,3.0,3.0,ШІ,Скоріше ні,Спотворення сприйняття реальності та формування хибних соціальних моделей ,"Зрозумілість, відповідність віку, якісне оформлення, безпечний зміст, повчальність.",,,,
E-online-013,В-11-T1V2,В,educator,online,11,google_form,Google Forms,2026-03-20 11:25:36.149000,T1,text,V2,video,17.0,Середня ,Вища (інша),"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Відпочинок / пауза, Розвиток мовлення","YouTube, Файли / флешка, Освітні платформи",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Так,3.0,4.0,4.0,5.0,5.0,5.0,5.0,Традиційний,Так,2.0,2.0,3.0,3.0,2.0,2.0,ШІ,Ні,порушення формування реального соціального досвіду,"Спокійна мова, немає різких звуків, агресії, герої  поводяться  доброзичливо, не надто швидка зміна кадрів, події мають причинно-наслідковий зв'язок. ",,,,
E-online-014,В-13-T6V5,В,educator,online,13,google_form,Google Forms,2026-03-19 07:51:57.821000,T6,text,V5,video,36.0,Старша,Вища (дошкільна освіта),Іноді,Рідше,"Тематичне заняття, Відпочинок / пауза, Розвиток мовлення",YouTube Kids,5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Так,3.0,5.0,5.0,5.0,5.0,5.0,5.0,Важко сказати,Скоріше так,3.0,3.0,3.0,3.0,3.0,3.0,ШІ,Скоріше ні,Його бездумне використання та низька якість згенерованого  матеріалу ,"Відповідність віку, чіткість мовлення, моральний зміст тощо",,,,
E-online-015,В-13-T6V5,В,educator,online,13,google_form,Google Forms,2026-03-22 22:22:19.150000,T6,text,V5,video,23 роки ,"Середня ""Б"" група",Вища (інша),Іноді,Кілька разів на тиждень,"Тематичне заняття, Відпочинок / пауза, Розвиток мовлення","YouTube, YouTube Kids, Файли / флешка, Освітні платформи",4.0,"Чіткий сюжет, Позитивні цінності, Природне мовлення, Відповідність віку","Чув(-ла), не впевнений(-а)",Можливо,Скоріше так,4.0,4.0,3.0,2.0,3.0,4.0,4.0,Важко сказати,Так,4.0,4.0,4.0,4.0,3.0,3.0,Важко сказати,Так,Залежність від яскравого штучного контенту замість живого спілкування.,Відповідає віку дитини.Має простий і зрозумілий зміст.Містить правдиву і корисну інформацію.,,,,
E-online-016,В-15-T5V5,В,educator,online,15,google_form,Google Forms,2026-03-23 12:05:39.629000,T5,text,V5,video,20.0,ІІ молодша А ,Середня спеціальна,Іноді,Кілька разів на тиждень,"Тематичне заняття, Відпочинок / пауза","YouTube, YouTube Kids, Файли / флешка",4.0,"Чіткий сюжет, Позитивні цінності, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Скоріше так,4.0,4.0,4.0,4.0,3.0,4.0,3.0,Традиційний,Скоріше так,3.0,3.0,3.0,4.0,3.0,4.0,ШІ,Так,"Викривлення, сприйняття реальності та підміна живого соціального досвіду ","Вікова відповідальність, ціннісне наповнення, естетичність та гармонійність, інтерактивні суть та спонукання до дії",,,,
E-online-017,В-16-T5V1,В,educator,online,16,google_form,Google Forms,2026-03-13 22:57:56.103000,T5,text,V1,video,-;,Змішана ( середня/старша),Вища (дошкільна освіта),"Так, регулярно",Щодня,"Відпочинок / пауза, Інше","YouTube, YouTube Kids",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,Можливо,Скоріше так,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Важко сказати,Скоріше так,3.0,3.0,5.0,4.0,4.0,4.0,Важко сказати,Скоріше ні,"ШІ може генерувати оманливий та назавжди якісний матеріал, що у свою чергу може нашкодити якісному розвитку дитини.",Зовнішній вигляд матеріалу та зміст.,,,,
E-online-018,В-16-T5V1,В,educator,online,16,google_form,Google Forms,2026-03-20 08:43:21.326000,T5,text,V1,video,14 років,Молодша,Вища (дошкільна освіта),Іноді,Кілька разів на тиждень,Відпочинок / пауза,"YouTube, YouTube Kids, Освітні платформи",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,Можливо,Скоріше так,4.0,5.0,5.0,5.0,5.0,5.0,4.0,Традиційний,Так,3.0,3.0,4.0,4.0,4.0,4.0,ШІ,Скоріше ні,"Не відповідає віку, має насильницькі наративи","Якість зображення, мовлення, психологічний ",,,,
E-online-019,В-16-T5V1,В,educator,online,16,google_form,Google Forms,2026-03-20 12:34:39.388000,T5,text,V1,video,13 років, Яслі,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,"Ранкове коло, Відпочинок / пауза, Інше","YouTube, Файли / флешка",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Так,4.0,5.0,5.0,5.0,5.0,4.0,4.0,Традиційний,Скоріше так,2.0,1.0,5.0,1.0,2.0,1.0,ШІ,Ні,"Коли є загроза життю, вплив ігор страшилок на психіку дитини, трігічні наслідки, якщо ші контент дитина самостійно переглядає безконтрольно.","Безпека, чіткий сюжет, відповідність віку дітей, завершений зміст, несе виховний характер.",,,,
E-online-020,В-17-T3V2,В,educator,online,17,google_form,Google Forms,2026-03-13 16:11:05.429000,T3,text,V2,video,2882.0,,Вища (інша),Іноді,,,,2.0,"Позитивні цінності, Природне мовлення","Чув(-ла), не впевнений(-а)",Ні,Скоріше так,4.0,4.0,1.0,2.0,4.0,4.0,4.0,ШІ,Скоріше так,3.0,2.0,2.0,3.0,2.0,2.0,ШІ,Скоріше так,,,,,,
E-online-021,В-17-T3V2,В,educator,online,17,google_form,Google Forms,2026-03-19 12:33:32.663000,T3,text,V2,video,22.0,Середня,Середня спеціальна,"Так, регулярно",Щодня,"Тематичне заняття, Ранкове коло, Обговорення емоцій","YouTube, Освітні платформи, Телебачення",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Так,4.0,3.0,3.0,3.0,4.0,4.0,4.0,Традиційний,Так,4.0,4.0,2.0,3.0,3.0,4.0,ШІ,Скоріше ні,"Найбільший ризик ШІ-контенту для дошкільника — це спотворення реальності та формування хибних уявлень (дитина не завжди відрізняє вигадку від правди), що може впливати на емоційний стан, поведінку та розвиток мислення.","•	зрозумілий і логічний сюжет;
	•	відповідність віку;
	•	безпечний психологічний зміст (без страху, агресії);
	•	чітка, правильна мова;
	•	наявність навчальної або виховної цінності;
	•	помірний темп і простота сприйняття.",,,,
E-online-022,В-18-T3V1,В,educator,online,18,google_form,Google Forms,2026-03-19 12:39:24.959000,T3,text,V1,video,29.0,Молодша,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Відпочинок / пауза, Розвиток мовлення, Обговорення емоцій","YouTube, YouTube Kids",5.0,"Чіткий сюжет, Позитивні цінності, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,Можливо,Так,4.0,4.0,5.0,4.0,4.0,4.0,4.0,Традиційний,Так,4.0,4.0,4.0,5.0,5.0,4.0,Важко сказати,Скоріше так,спотворення реальності,"відповідає віку, активізує мислення ",,,,
E-online-023,В-18-T3V1,В,educator,online,18,google_form,Google Forms,2026-03-20 06:38:08.625000,T3,text,V1,video,31 рік,Інтенсивної педагогічної корекції ,Вища (інша),Іноді,Рідше,"Відпочинок / пауза, Розвиток мовлення, Обговорення емоцій","YouTube Kids, Освітні платформи",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,Ні,Важко відповісти,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Традиційний,Так,1.0,1.0,1.0,1.0,1.0,1.0,ШІ,Ні,Невідповідність реальності,"Реальність,природність",,,,
E-online-024,В-18-T3V1,В,educator,online,18,google_form,Google Forms,2026-03-20 08:34:14.059000,T3,text,V1,video,23.0,Молодша ,Вища (інша),"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Ранкове коло, Відпочинок / пауза, Розвиток мовлення, Обговорення емоцій","YouTube Kids, Файли / флешка, Освітні платформи",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Скоріше так,4.0,4.0,4.0,4.0,3.0,3.0,4.0,Важко сказати,Скоріше так,3.0,3.0,3.0,3.0,3.0,3.0,ШІ,Скоріше ні,Спотворення сприйняття реальності та формування хибних соціальних моделей.,"Зрозумілість, відповідність віку, цікавість, повчальність, безпечний зміст, якісне оформлення, розвиває мислення.",,,,
E-online-025,В-02-T8V3,В,educator,online,2,google_form,Google Forms,2026-03-19 07:59:57.827000,T8,text,V3,video,15.0,Старша,Вища (інша),"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Відпочинок / пауза, Розвиток мовлення, Обговорення емоцій","YouTube, Файли / флешка, Освітні платформи",5.0,"Чіткий сюжет, Позитивні цінності, Без насилля / переляку, Відповідність віку",Так,Можливо,Скоріше так,2.0,3.0,2.0,3.0,3.0,3.0,3.0,ШІ,Скоріше так,2.0,2.0,2.0,2.0,3.0,2.0,ШІ,Скоріше ні,Психологічна небезпека,"Чіткий сюжет, цінний зміст, психологічна безпека, вікова доречність",,,,
E-online-026,В-02-T8V3,В,educator,online,2,google_form,Google Forms,2026-03-19 13:27:57.709000,T8,text,V3,video,20.0,Старша,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Розвиток мовлення","YouTube, YouTube Kids, Освітні платформи",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Так,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Традиційний,Так,5.0,5.0,5.0,5.0,5.0,5.0,Важко сказати,Так,Перегляд матеріалів де використовують елементи фізичного та психологічного насилля та булінгу .,"Відповідність віку,безпека.",,,,
E-online-027,В-05-T7V4,В,educator,online,5,google_form,Google Forms,2026-03-13 18:36:54.403000,T7,text,V4,video,4.0,молодша,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Ранкове коло, Відпочинок / пауза, Інше","YouTube, Освітні платформи",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,Можливо,Скоріше так,4.0,4.0,4.0,5.0,5.0,4.0,4.0,ШІ,Скоріше так,4.0,4.0,4.0,4.0,4.0,4.0,ШІ,Скоріше так,формування пасивного мислення та зниження власної творчої активності дитини. ,"Якісний матеріал для дітей легко розпізнати за відповідністю віку, зрозумілою мовою, безпечним і позитивним змістом, наявністю розвивальної спрямованості, помірною та зрозумілою візуалізацією і чіткою пізнавальною або виховною ідеєю.",,,,
E-online-028,В-05-T7V4,В,educator,online,5,google_form,Google Forms,2026-03-19 12:38:50.030000,T7,text,V4,video,9.0, ІІ молодша ,Вища (дошкільна освіта),"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Відпочинок / пауза, Розвиток мовлення, Обговорення емоцій","YouTube, YouTube Kids",5.0,"Чіткий сюжет, Позитивні цінності, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Так,4.0,4.0,5.0,4.0,4.0,5.0,4.0,Традиційний,Скоріше так,4.0,4.0,5.0,4.0,5.0,5.0,Важко сказати,Скоріше так,"Перезбудження нервової системи, зниження уваги","Відповідність віку, безпечний зміст, без насилля",,,,
E-online-029,В-05-T7V4,В,educator,online,5,google_form,Google Forms,2026-03-19 12:38:52.190000,T7,text,V4,video,1.0,1 молодша,Вища (дошкільна освіта),Іноді,Рідше,"Тематичне заняття, Відпочинок / пауза, Розвиток мовлення, Обговорення емоцій","YouTube, Файли / флешка",5.0,"Чіткий сюжет, Позитивні цінності, Без насилля / переляку",Так,"Так, свідомо",Скоріше так,4.0,4.0,5.0,4.0,4.0,3.0,5.0,Традиційний,Скоріше так,4.0,5.0,4.0,4.0,4.0,4.0,Традиційний,Скоріше так,Зниження уяви та творчості,"Безпечний зміст, відповідність віку, активізує мислення ",,,,
